product_id,product_name,sale_date,amount,customer_id
1,Product A,2024-02-01,150,1
2,Product B,2024-02-02,190,2
3,Product C,2024-02-03,160,3
4,Product D,2024-02-04,180,4
5,Product E,2024-02-05,220,5
1,Product A,2024-02-06,140,6
2,Product B,2024-02-07,200,7
3,Product C,2024-02-08,170,8
4,Product D,2024-02-09,190,9
5,Product E,2024-02-10,240,10
1,Product A,2024-02-11,160,1
2,Product B,2024-02-12,210,2
3,Product C,2024-02-13,180,3
4,Product D,2024-02-14,200,4
5,Product E,2024-02-15,250,5
1,Product A,2024-02-16,170,6
2,Product B,2024-02-17,220,7
3,Product C,2024-02-18,190,8
4,Product D,2024-02-19,210,9
5,Product E,2024-02-20,260,10
1,Product A,2024-02-21,180,1
2,Product B,2024-02-22,230,2
3,Product C,2024-02-23,200,3
4,Product D,2024-02-24,220,4
5,Product E,2024-02-25,270,5
